Tweets;Status
Ulan Wifi'ye baðlýyým ben. Ona baðlýyken Turkcell internet paketin bitti diye nasýl mesaj atabilir bana ya? Onu da mý ödeyelim;2
20 dk 1 GB internet 500 mb sadece kaþar turkcell de düþer. Oç çocuklarý.;2
Ayrýca turkcell superonline reklamý kadar da kötü bir reklam görmemiþtim;2
Turkcell çok pahalý ya;2
Turkcell Kaþ'ta internetin cekmiyor;2
Turkcell'in Allah belasý versin demek isterdim ama demicem. Demedim farzedin. Nasýl bir internettir bu ya yüreðim þiþti!;2
Canýn cehenneme turkcell;2
Turkcell yönetimini eline geçiren AKP hükümeti, abonelere seçim propagandasý mesajlarý gönderiyor;2
Turkcell þerefsizdir aksini iddia eden turkcelldir;2
Turkcell'den elimi ayaðýmý çektiðim iyi oldu;2
Senin turkcell gibi allah belaný versin;2
Bayramdan sonra vodafone geçiyorum turkcell kazýkçý amk;2
Of evin her köþesinden Turkcell geçiyor bizi kazýklamalarýyla kalmayýp birde internetleri düþük hýzlý;2
Hay senin turkcell gibi çekim gücünü ... Nalet olsun;2
Þehir dýþýndayým burada da turkcell internet çekmiyor. Bide turkcell fuul çekiyor diyorlar;2
Turkcell senin ben amk 10 dakikalýk videoyu izlemek icin yarým saat dolmasýný bekliyorum;2
Turkcell 'e baðlanmak amerikaya gitmekten daha zor;2
Su turkcell durduk yere kac lirami yedi ya kafasina gore paralar cekiyo;2
Turkcell im lan her saatte araman ayýp deðil mi? Nalet .;2
turkcell gittikçe, iyice saçmalamaya baþladým diyor;2
Kendimi kurtardýðýma en çok sevindiðim kurumlar 3 turkcell 2 digiturk 1 garanti;2
Turkcell'in interneti kadar rezil bir þey olamaz;2
turkcell mal ya köyde çekmeyeceksen hiçbi yerde çekme;2
Reklamlarýnda sürekli çocuklarý ve yerel deðerleri kullanan Turkcell'e ayar oluyorum.;2
Yaylada telefon çekmiyor sözde toroslarda turkcell 4 çekiyor;2
Sahrayýceditin göbeðinde tek çentik çeken turkcell dört 4.5 g ye geçmiþ sen önce çekim gücünü yükselt sonra geçmesi kolay;2
Turkcell kullanan geri zekalýdýr. Ýnterneti biraz daha hýzlý diye niye 23 lira vermek varken 35 lira vereyim ams salak mýyým ben;2
Türk operatörleri týpký AB'deki operatör türevleri gibi halka hediye olarak ürün sunmalý. Yýllardýr halký sömüren Turkcell ne yaptý?;2
Turkcell'in müþteri hizmetleri kalitesi felaket .. Þimdi Face hesabýmdan ayný yazýyý tüm arkadaþlarýmla paylaþacaðým;2
Ne malsýn turkcell yaa aðzýma ettin ressmen;2
